object_id,link,is_thinnest_link,n_events_coded_to_link,model_represents_link,model_slider
pencil,packet,0,2,partial,gain
pencil,decoder,0,1,full,qd
pencil,context,0,1,full,qc
pencil,tacit,0,1,none,
pencil,apparatus,1,2,partial,halfLife
pencil,maintenance,0,1,partial,halfLife
ballpoint,packet,0,2,partial,gain
ballpoint,decoder,0,0,full,qd
ballpoint,context,0,1,full,qc
ballpoint,tacit,1,2,none,
ballpoint,apparatus,0,2,partial,halfLife
ballpoint,maintenance,0,1,partial,halfLife
lighter,packet,0,2,partial,gain
lighter,decoder,0,1,full,qd
lighter,context,1,1,full,qc
lighter,tacit,0,0,none,
lighter,apparatus,0,3,partial,halfLife
lighter,maintenance,0,1,partial,halfLife
supermarket,packet,0,3,partial,gain
supermarket,decoder,0,2,full,qd
supermarket,context,0,0,full,qc
supermarket,tacit,0,1,none,
supermarket,apparatus,1,2,partial,halfLife
supermarket,maintenance,0,0,partial,halfLife
toaster,packet,0,2,partial,gain
toaster,decoder,0,1,full,qd
toaster,context,0,0,full,qc
toaster,tacit,0,1,none,
toaster,apparatus,0,3,partial,halfLife
toaster,maintenance,1,1,partial,halfLife
natural-gas,packet,0,1,partial,gain
natural-gas,decoder,1,1,full,qd
natural-gas,context,0,1,full,qc
natural-gas,tacit,0,1,none,
natural-gas,apparatus,0,2,partial,halfLife
natural-gas,maintenance,0,2,partial,halfLife
electric-car,packet,0,3,partial,gain
electric-car,decoder,0,1,full,qd
electric-car,context,0,1,full,qc
electric-car,tacit,1,1,none,
electric-car,apparatus,0,1,partial,halfLife
electric-car,maintenance,0,1,partial,halfLife
aspirin,packet,0,2,partial,gain
aspirin,decoder,0,0,full,qd
aspirin,context,1,3,full,qc
aspirin,tacit,0,2,none,
aspirin,apparatus,0,1,partial,halfLife
aspirin,maintenance,0,0,partial,halfLife
radio,packet,0,1,partial,gain
radio,decoder,0,1,full,qd
radio,context,0,1,full,qc
radio,tacit,1,1,none,
radio,apparatus,0,3,partial,halfLife
radio,maintenance,0,1,partial,halfLife
diode,packet,0,2,partial,gain
diode,decoder,0,1,full,qd
diode,context,0,1,full,qc
diode,tacit,1,1,none,
diode,apparatus,0,2,partial,halfLife
diode,maintenance,0,1,partial,halfLife
transistor,packet,0,1,partial,gain
transistor,decoder,0,1,full,qd
transistor,context,0,1,full,qc
transistor,tacit,1,2,none,
transistor,apparatus,0,2,partial,halfLife
transistor,maintenance,0,1,partial,halfLife
integrated-circuit,packet,0,1,partial,gain
integrated-circuit,decoder,0,1,full,qd
integrated-circuit,context,0,1,full,qc
integrated-circuit,tacit,0,1,none,
integrated-circuit,apparatus,1,2,partial,halfLife
integrated-circuit,maintenance,0,1,partial,halfLife
hdd,packet,0,1,partial,gain
hdd,decoder,0,1,full,qd
hdd,context,0,1,full,qc
hdd,tacit,0,1,none,
hdd,apparatus,1,2,partial,halfLife
hdd,maintenance,0,2,partial,halfLife
television,packet,0,2,partial,gain
television,decoder,0,1,full,qd
television,context,0,0,full,qc
television,tacit,0,0,none,
television,apparatus,1,4,partial,halfLife
television,maintenance,0,1,partial,halfLife
computer,packet,0,2,partial,gain
computer,decoder,0,2,full,qd
computer,context,1,1,full,qc
computer,tacit,0,0,none,
computer,apparatus,0,1,partial,halfLife
computer,maintenance,0,2,partial,halfLife
internet,packet,0,1,partial,gain
internet,decoder,0,1,full,qd
internet,context,0,2,full,qc
internet,tacit,0,0,none,
internet,apparatus,0,2,partial,halfLife
internet,maintenance,1,2,partial,halfLife
ai,packet,0,2,partial,gain
ai,decoder,0,2,full,qd
ai,context,1,1,full,qc
ai,tacit,0,0,none,
ai,apparatus,0,1,partial,halfLife
ai,maintenance,0,2,partial,halfLife
iznik,packet,0,1,partial,gain
iznik,decoder,0,1,full,qd
iznik,context,1,1,full,qc
iznik,tacit,0,1,none,
iznik,apparatus,0,2,partial,halfLife
iznik,maintenance,0,2,partial,halfLife
hat,packet,0,1,partial,gain
hat,decoder,0,2,full,qd
hat,context,1,1,full,qc
hat,tacit,0,1,none,
hat,apparatus,0,1,partial,halfLife
hat,maintenance,0,2,partial,halfLife
ebru,packet,1,2,partial,gain
ebru,decoder,0,1,full,qd
ebru,context,0,1,full,qc
ebru,tacit,0,1,none,
ebru,apparatus,0,1,partial,halfLife
ebru,maintenance,0,2,partial,halfLife
sinan,packet,0,1,partial,gain
sinan,decoder,0,2,full,qd
sinan,context,0,2,full,qc
sinan,tacit,1,1,none,
sinan,apparatus,0,1,partial,halfLife
sinan,maintenance,0,1,partial,halfLife
ottoman-script,packet,0,0,partial,gain
ottoman-script,decoder,1,2,full,qd
ottoman-script,context,0,1,full,qc
ottoman-script,tacit,0,0,none,
ottoman-script,apparatus,0,2,partial,halfLife
ottoman-script,maintenance,0,3,partial,halfLife
ottoman-vakif,packet,0,1,partial,gain
ottoman-vakif,decoder,0,1,full,qd
ottoman-vakif,context,0,0,full,qc
ottoman-vakif,tacit,0,0,none,
ottoman-vakif,apparatus,1,2,partial,halfLife
ottoman-vakif,maintenance,0,4,partial,halfLife
ottoman-print,packet,0,2,partial,gain
ottoman-print,decoder,0,0,full,qd
ottoman-print,context,0,2,full,qc
ottoman-print,tacit,0,1,none,
ottoman-print,apparatus,0,1,partial,halfLife
ottoman-print,maintenance,1,2,partial,halfLife
roman-law,packet,0,3,partial,gain
roman-law,decoder,0,2,full,qd
roman-law,context,1,1,full,qc
roman-law,tacit,0,0,none,
roman-law,apparatus,0,1,partial,halfLife
roman-law,maintenance,0,1,partial,halfLife
aqueducts,packet,0,1,partial,gain
aqueducts,decoder,0,0,full,qd
aqueducts,context,0,0,full,qc
aqueducts,tacit,0,0,none,
aqueducts,apparatus,0,2,partial,halfLife
aqueducts,maintenance,1,5,partial,halfLife
latin-alphabet,packet,0,2,partial,gain
latin-alphabet,decoder,0,3,full,qd
latin-alphabet,context,1,0,full,qc
latin-alphabet,tacit,0,0,none,
latin-alphabet,apparatus,0,2,partial,halfLife
latin-alphabet,maintenance,0,1,partial,halfLife
glassblowing,packet,0,1,partial,gain
glassblowing,decoder,0,1,full,qd
glassblowing,context,0,1,full,qc
glassblowing,tacit,0,1,none,
glassblowing,apparatus,1,2,partial,halfLife
glassblowing,maintenance,0,2,partial,halfLife
codex,packet,0,2,partial,gain
codex,decoder,0,2,full,qd
codex,context,0,1,full,qc
codex,tacit,0,1,none,
codex,apparatus,0,1,partial,halfLife
codex,maintenance,1,1,partial,halfLife
hypocaust,packet,0,1,partial,gain
hypocaust,decoder,0,1,full,qd
hypocaust,context,0,2,full,qc
hypocaust,tacit,0,1,none,
hypocaust,apparatus,0,2,partial,halfLife
hypocaust,maintenance,1,1,partial,halfLife
ubykh,packet,0,3,partial,gain
ubykh,decoder,0,1,full,qd
ubykh,context,0,1,full,qc
ubykh,tacit,0,1,none,
ubykh,apparatus,0,1,partial,halfLife
ubykh,maintenance,1,1,partial,halfLife
kilogram,packet,0,2,partial,gain
kilogram,decoder,0,1,full,qd
kilogram,context,0,1,full,qc
kilogram,tacit,0,1,none,
kilogram,apparatus,1,2,partial,halfLife
kilogram,maintenance,0,1,partial,halfLife
