object_id,name_en,name_tr,civilisation,category,chain_broke,era_en,era_tr,n_events,year_first,year_last,thinnest_link,model_coverage,model_slider,thinnest_why_en,thinnest_why_tr,near_break_en,near_break_tr,what_it_does_not_show_en,what_it_does_not_show_tr,n_sources
pencil,The pencil,Kurşun kalem,modern,everyday,0,1540s → today,1540'lar → bugün,8,1540,2023,apparatus,partial,halfLife,"Packet, decoder and maintenance are all robust; what is brittle is the physical base. 78% of natural graphite comes out of a single country, and the December 2023 permit regime showed how fast that can narrow: exports fell 78% in two months. Incense cedar is similarly concentrated in a few regions. The recipe can survive perfectly well and the line still stops if the matter does.","Paket, çözücü ve bakım halkaları sağlam; kırılgan olan fiziksel taban. Doğal grafitin %78'i tek bir ülkeden çıkıyor ve Aralık 2023 izin rejimi bunun ne kadar hızlı daralabileceğini gösterdi: iki ayda ihracat %78 azaldı. Sedir de benzer biçimde birkaç bölgeye sıkışmış durumda; reçete hayatta kalsın, madde durursa hat durur.","The wars of the 1790s cut France off from Borrowdale, the only good source of graphite. In 1795 Nicolas-Jacques Conté solved it by mixing powdered graphite with clay and firing it; the chain not only held but improved, because hardness could now be dialled in by ratio. When the Borrowdale seam was abandoned in 1891 nobody noticed: the knowledge had moved out of the mine and into the recipe.","1790'ların savaşları Fransa'yı tek iyi grafit kaynağından, Borrowdale'den kesti. Nicolas-Jacques Conté 1795'te grafit tozunu kille karıştırıp fırınlayarak çözümü buldu; zincir kopmadığı gibi güçlendi, çünkü sertlik artık oranla ayarlanabiliyordu. Borrowdale damarı 1891'de terk edildiğinde kimse fark etmedi bile: bilgi artık madende değil, reçetedeydi.","This case supports the study's central claim: once the packet becomes an abstract procedure — “mix graphite with clay in this ratio” rather than “dig this particular mine” — the chain survives the loss of its raw material. What it does not show: the pencil held because demand for it never lapsed, and it offers no evidence that a body of knowledge nobody currently wants would prove equally durable. A note of honesty: Read wrote that sentence not as a warning of loss but as its opposite — proof of a spontaneous order that works without anyone knowing the whole. This study reads the same fact as a map of the chain's fragility; both readings stand here side by side, deliberately.","Bu vaka çalışmanın merkezî iddiasını destekliyor: paket bağımsız bir tarife dönüştüğünde — “belirli bir madeni kaz” yerine “grafiti kille şu oranda karıştır” — zincir hammaddesini kaybetse bile yaşar. Göstermediği şey: kalem hiç kesintisiz talep gördüğü için ayakta kaldı; talebi çekilen bir bilginin aynı dayanıklılığı göstereceğine dair hiçbir kanıt sunmuyor. Bir dürüstlük notu: Read bu cümleyi bir kayıp uyarısı olarak değil, tam tersine, kimse bütünü bilmeden çalışan kendiliğinden düzenin kanıtı olarak yazdı. Bu çalışma aynı olguyu zincirin kırılganlık haritası olarak okuyor; iki okuma da burada bilerek yan yana duruyor.",5
ballpoint,The ballpoint pen,Tükenmez kalem,modern,everyday,0,1888 → today,1888 → bugün,8,1888,2017,tacit,none,,"The written packet is complete, the patents are public, demand is endless — and making the tip is still a separate job. China is the cleanest proof: the country that makes most of the world's ballpoints had to import its tip steel for years. What fails to transfer is not the drawing but the shop-floor knowledge of the alloy and the grind.","Yazılı paket eksiksiz, patentler herkese açık, talep sonsuz — ve buna rağmen ucu yapmak ayrı bir iş. Çin örneği bunun en temiz kanıtı: dünyanın tükenmez kalemlerinin çoğunu üreten ülke, uç çeliğini yıllarca ithal etmek zorunda kaldı. Aktarılamayan şey çizim değil, alaşımın ve taşlamanın atölye bilgisi.","In October 1945 the Reynolds Rocket sold wildly in New York, but the pens leaked, the ink faded, and customers posted Reynolds their dry-cleaning bills; banks refused cheques signed with a ballpoint. The price collapsed from $12.50 to 50¢ within three years and Reynolds left the business. What saved the idea was not a new patent but Marcel Bich's 1950 manufacturing discipline, which finally got the ink chemistry and the ball tolerance right.","Ekim 1945'te Reynolds Rocket New York'ta çılgınca satıldı, ama kalemler sızdı, mürekkep soldu ve müşteriler Reynolds'a kuru temizleme faturalarını gönderdi; bankalar tükenmezle imzalanan çekleri kabul etmedi. Fiyat üç yılda 12,50 dolardan 50 sente çöktü ve Reynolds işi bıraktı. Fikri kurtaran şey yeni bir patent değil, Marcel Bich'in 1950'de mürekkep kimyasını ve bilye toleransını nihayet tutturan üretim disiplini oldu.",This case confirms the study's claim that a packet alone is not enough: an idea available since 1888 collapsed twice in the market until the apparatus and tacit links caught up. What it does not show: nothing here was ever truly lost — Bíró's patent stayed legible throughout — so the case offers no evidence about recovering from an actual break.,"Bu vaka çalışmanın “paket tek başına yetmez” iddiasını doğruluyor: 1888'den beri elde olan bir fikir, aygıt ve örtük bilgi halkaları hazır olana kadar iki kez piyasada çöktü. Göstermediği şey: burada kesin bir kopuş hiç yaşanmadı — Bíró'nun patenti hep okunabilir durumdaydı, dolayısıyla vaka gerçek bir bilgi kaybının nasıl telafi edileceğine dair kanıt sunmuyor.",5
lighter,The butane/gas lighter,Çakmak (bütan gazlı),modern,everyday,0,1823 → today,1823 → bugün,8,1823,1994,context,full,qc,"The lighter is the object whose context has been most completely erased. It works in a billion pockets while being wholly opaque to its user: what is inside, where its limits are, where the spark comes from, have all dropped out of ordinary knowledge. The only institutional memory carrying its error history is safety regulation; the 1994 child-resistance standard is the record of how expensively that gap was learned.","Çakmak, bağlamı en eksiksiz silinmiş nesne. Nesne bir milyar cepte çalışıyor ama kullanıcı için tamamen opak: içinde ne olduğu, hangi sınırlarda patlayacağı, kıvılcımın nereden geldiği gündelik bilgiden çıkmış durumda. Hata tarihini taşıyan tek kurumsal hafıza güvenlik mevzuatı; 1994 çocuk kilidi standardı bu boşluğun ne kadar pahalıya öğrenildiğinin kaydıdır.","Döbereiner's lamp sold more than 20,000 units in Germany and Britain in the 1820s; Goethe himself funded the research. Then phosphorus friction matches arrived in 1827, the heavy and dangerous lamp was wiped off the market, and portable chemical fire was effectively abandoned. The chain held because what was transmitted was not the device but the problem: when Auer von Welsbach found ferrocerium in 1903, the pocketable spark came back.",Döbereiner'in lambası 1820'lerde Almanya ve Britanya'da 20.000'den fazla sattı; Goethe bile araştırmasını finanse etti. Ama 1827'de fosforlu sürtmeli kibritler çıkınca ağır ve tehlikeli lamba piyasadan silindi ve taşınabilir kimyasal ateş fikri fiilen terk edildi. Zincir kopmadı çünkü aktarılan alet değil sorunun kendisiydi: 1903'te Auer von Welsbach ferroseryumu bulduğunda cebe giren kıvılcım geri döndü.,"This case supports the study's claim that a link can lie empty for decades and the chain still continue: between 1827 and 1903 the product vanished while the problem did not. What it does not show: what was rescued here was a general purpose, not a specific procedure, so the lighter gives no evidence that a lost method can be recovered.","Bu vaka çalışmanın “bir halka onlarca yıl boş kalabilir ve zincir yine de sürer” iddiasını destekliyor: 1827 ile 1903 arasında ürün ortadan kalktı, sorun kalmadı sayılmaz. Göstermediği şey: burada kurtarılan şey belirli bir tarif değil, genel bir amaçtı; çakmak vakası kaybolmuş bir yöntemin geri kazanılabileceğine dair kanıt sunmuyor.",5
supermarket,The supermarket,Süpermarket,modern,everyday,0,1916 → today,1916 → bugün,8,1916,1974,apparatus,partial,halfLife,"Procedure, format and labour are all robust; what is brittle is the physical carrier. What sits on the shelf passes through one canal, one refrigerator, one power line, and the real cost of those bottlenecks has been measured: in March 2021 a single ship blocking Suez for six days left more than 430 vessels waiting and held up some $9 billion of trade a day.","Prosedür, format ve emek halkaları sağlam; kırılgan olan fiziksel taşıyıcı. Rafın içeriği tek bir kanaldan, tek bir soğutucudan, tek bir elektrik hattından geçiyor ve bu darboğazların gerçek maliyeti ölçülmüş durumda: Mart 2021'de tek bir geminin Süveyş'i altı gün tıkaması 430'dan fazla gemiyi bekletti ve günde yaklaşık 9 milyar dolarlık ticareti durdurdu.",On 23 March 2021 the 400-metre Ever Given wedged itself across the Suez Canal; for six days more than 430 ships waited and roughly $9 billion of trade a day stalled. The vessel was refloated on 29 March and the backlog cleared by 3 April. The chain held because the network itself was redundant — routes could be swung around the Cape and no lasting gap opened on the shelves.,"23 Mart 2021'de 400 metrelik Ever Given Süveyş Kanalı'nı çaprazlamasına tıkadı; altı gün boyunca 430'dan fazla gemi bekledi ve günde yaklaşık 9 milyar dolarlık ticaret durdu. Gemi 29 Mart'ta yüzdürüldü, birikmiş kuyruk 3 Nisan'a kadar eritildi. Zincir tuttu çünkü ağın kendisi yedekliydi — rotalar Ümit Burnu'na kaydırılabildi ve raflarda kalıcı bir boşluk oluşmadı.","This case supports the study's claim that some packets are not a text but a set of interlocking formats: a supermarket exists only when store plan, pallet, container and barcode all agree at once. What it does not show: the barcode was read in 1974 and had still reached only 29% of stores by 1985, a reminder that nothing guarantees a format will spread quickly.","Bu vaka çalışmanın “bazı paketler bir metin değil, birbirine kilitlenmiş formatlar kümesidir” iddiasını destekliyor: süpermarket ancak mağaza planı, palet, konteyner ve barkod aynı anda anlaştığında var olabiliyor. Göstermediği şey: barkodun 1974'te okunup 1985'te hâlâ mağazaların yalnızca %29'una ulaşmış olması, bir formatın hızlı yayılacağına dair hiçbir güvence bulunmadığını hatırlatıyor.",5
toaster,The electric toaster,Elektrikli ekmek kızartma makinesi,modern,everyday,0,1906 → today,1906 → bugün,8,1906,2024,maintenance,partial,halfLife,"The copying half runs at enormous scale while the teaching half has stopped altogether. The toaster now lives only by being remanufactured; there is no repair culture, no stock of spare elements, no institution training anyone to fix one. Small equipment makes up 33% of world e-waste and only 12% of it is recycled — so if the line stopped, nobody would be positioned to take the chain over.","Kopyalama işi devasa ölçekte sürüyor ama öğretme işi tamamen durdu. Tost makinesi bugün yalnızca yeniden üretilerek yaşıyor; onarım kültürü, yedek rezistans stoğu ve tamirci yetiştiren hiçbir kurum kalmadı. Küçük cihazlar dünya e-atığının %33'ünü oluşturuyor ve bunun sadece %12'si geri dönüştürülüyor — yani hat dursa zinciri devralacak kimse yok.","From December 1941 the US War Production Board restricted the manufacture of domestic cooking appliances under order L-23, while M-6-b rationed nickel and M-21-d chromium — that is, both constituents of the very alloy that makes a toaster possible went to the war. The chain was suspended rather than broken: because the patents, the tooling and the factories stayed in place, production resumed where it had left off.","Aralık 1941'den itibaren ABD Savaş Üretim Kurulu, L-23 emriyle ev tipi pişirme cihazlarının üretimini kısıtladı; M-6-b nikeli, M-21-d ise kromu tahsis altına aldı — yani tost makinesinin varlık sebebi olan alaşımın iki bileşeni de savaşa gitti. Zincir koptu değil askıya alındı: patentler, kalıplar ve fabrikalar yerinde kaldığı için üretim savaştan sonra kaldığı yerden sürdü.","This case is the cleanest experimental test of the study's claim that a packet without tacit skill and apparatus is dead letter: Thwaites had every recipe and ended up, after nine months and 300 times the cost, with a wire that melted. What it does not show: this was an experiment in loss of scale, not loss of knowledge — one person failing while the industry stands does not by itself prove the chain is fragile. Thwaites's own framing was not knowledge loss either: the project is an artwork about the scale of industrial dependence, and he says the interesting part was the cheating rather than following the rules. The experiment serves here as a witness for the apparatus link; that is the author's own thesis, and ours is built on top of it.","Bu vaka çalışmanın “örtük bilgi ve aygıt olmadan paket ölü harftir” iddiasının en temiz deneysel testi: Thwaites'in elinde tüm tarifler vardı, sonuç dokuz ay ve 300 kat maliyetle eriyen bir teldi. Göstermediği şey: bu bir bilgi kaybı değil, ölçek kaybı deneyiydi — sanayi ayaktayken bireyin başarısızlığı zincirin kırılganlığını kanıtlamaz. Thwaites'in kendi çerçevesi de bilgi kaybı değildi: proje, sanayi bağımlılığının ölçeği üzerine bir sanat işidir ve Thwaites işin ilginç kısmının kurallara uymak değil, hile yapmak olduğunu söyler. Deney burada aparat halkasının tanığı olarak kullanılıyor; yazarın kendi tezi budur, bizimki onun üstüne kuruludur.",5
natural-gas,Natural gas (as an energy system),Doğal gaz (bir enerji sistemi olarak),modern,energy,0,c. 225 BCE – present,MÖ ~225 – bugün,8,-225,2026,decoder,full,qd,"The apparatus will outlive the people who maintain it. A 3.3-million-mile system must still be read while it shrinks: capping, purging and abandoning lines demands more expertise than running them — yet that is exactly when recruitment falls off. The packet is fine; the hands are not.","Aparat, onu bakımda tutan insanlardan uzun yaşayacak. 3,3 milyon millik bir sistem küçülürken bile okunmak zorunda: hat kapatmak, süpürmek ve terk etmek işletmekten daha fazla uzmanlık ister — ama tam da bu dönemde mesleğe giriş azalıyor. Paket sağlam; eller değil.","18 March 1937, New London, Texas. To save $300 a month the school had been tapped into Parade Gasoline Company's residue gas line; the gas was odourless. It pooled under the floor and ignited at 3:17 p.m. from a shop-class sander, killing about 298 people, most of them children. The context was written in bodies rather than documents: Texas became the first state to mandate a malodorant, and the rule is now near-universal.","18 Mart 1937, New London, Teksas. Okul, aylık 300 dolar tasarruf etmek için Parade Gasoline Company'nin artık gaz hattına bağlanmıştı; gaz kokusuzdu. Zeminin altında birikti ve saat 15.17'de atölye dersindeki bir zımparanın kıvılcımıyla patladı; yaklaşık 298 kişi öldü, çoğu çocuktu. Bağlam belgeye değil, cesetlere yazıldı: Teksas gaza kokulandırıcı katılmasını zorunlu kılan ilk eyalet oldu ve kural bugün neredeyse evrensel.","Supports the study's claim that context survives best when it is engineered into the apparatus rather than filed as a document. Odorant converts 'a gas leak kills' into a physical property nobody has to read and nobody can forget — the warning arrives without the manual. Honest limit: the translation closes exactly one failure mode. Odorant fade in soil, anosmia and olfactory fatigue still require written context — and the industry mis-copying its own founding date for two centuries (1821 vs 1825) shows the maintenance link failing even inside the record itself.","Çalışmanın şu iddiasını destekliyor: bağlam en dayanıklı biçimini belgede değil, donanımın kendisinde bulur. Kokulandırıcı, 'gaz kaçağı öldürür' bilgisinin okunması gerekmeyen, unutulamayan bir fiziksel özelliğe çevrilmiş hâlidir — uyarı el kitabı açılmadan gelir. Dürüst sınır: bu çeviri tek bir hata biçimini kapatır. Kokunun toprakta soğurulması, koku körlüğü ve koku yorgunluğu hâlâ yazılı bağlam ister; üstelik sektörün kendi kuruluş tarihini iki yüzyıl boyunca yanlış kopyalaması (1821'e karşı 1825), bakım halkasının kaydın kendisinde bile aksadığını gösteriyor.",5
electric-car,The electric car,Elektrikli otomobil,modern,energy,0,"1890 – present, with a sixty-year gap","1890 – bugün, arada altmış yıllık bir boşlukla",8,1890,2025,tacit,none,,"The documents are everywhere; the hands are not. How to make a lithium-ion cell is published; how to make one at an acceptable yield is not, and in practice lives on the production lines of a few firms. This chain's own history teaches the same lesson: what died in 1935 was not the document but the manufacturing hand — and what returned in the 1990s came from building a new hand, not from reading an old page.","Belge her yerde, el yok. Bir lityum-iyon hücresinin nasıl yapıldığı yayımlanmış durumda; kabul edilebilir verimle nasıl yapıldığı yayımlanmamıştır ve pratikte birkaç firmanın üretim hattında yaşıyor. Zincirin kendi tarihi de aynı dersi veriyor: 1935'te ölen şey belge değil, üretim eliydi — ve 1990'larda geri gelen de belge okuyarak değil, yeni bir el kurarak geldi.","1935–1996: sixty years asleep. The US Department of Energy states that electric vehicles had all but disappeared by 1935 and stayed dormant into the 1960s. Throughout, the packet was intact — patents, engineering handbooks and libraries were all still there. What vanished was the apparatus and the market. When the chain warmed again with the GM EV1 in 1996, those documents were barely used: what made the revival possible was not the archive but an entirely new packet written from scratch between 1976 and 1991 — intercalation chemistry.","1935-1996: altmış yıllık uyku. ABD Enerji Bakanlığı'na göre elektrikli araçlar 1935'e gelindiğinde neredeyse tamamen kaybolmuş ve 1960'lara kadar durgun kalmıştı. Bu süre boyunca paket eksiksizdi — patentler, mühendislik el kitapları ve kütüphaneler yerli yerindeydi. Kaybolan şey aparat ve pazardı. Zincir 1996'da GM EV1 ile yeniden ısındığında o belgeler neredeyse hiç kullanılmadı: dirilişi mümkün kılan arşiv değil, 1976-1991 arasında sıfırdan yazılmış yepyeni bir paketti — interkalasyon kimyası.","Supports the study's claim that a packet alone cannot restart a chain. The 1900 electric-car documents were never lost; they were useless for sixty years anyway, because no market read them, no factory made them and no master trained a hand to them. Honest limit: this case is read too optimistically as 'relit from the archive.' What revived was not a continuation of the old chain but a new chain sharing its goal; the archive carried the destination, not the method. That is a warning to archivists, not a victory.","Çalışmanın 'paket tek başına zinciri yeniden başlatamaz' iddiasını destekliyor. 1900'ün elektrikli otomobil belgeleri hiç kaybolmadı; yine de altmış yıl boyunca hiçbir işe yaramadılar, çünkü onları okuyacak pazar, üretecek fabrika ve elleri eğitecek usta kalmamıştı. Dürüst sınır: bu vaka 'arşivden yeniden yakıldı' diye fazla iyimser okunuyor. Dirilen şey eski zincirin devamı değil, aynı amacı paylaşan yeni bir zincirdir; arşiv yalnızca hedefi taşıdı, yöntemi değil. Bu, arşivciliğe bir zafer değil, bir uyarıdır.",5
aspirin,Aspirin (acetylsalicylic acid),Aspirin (asetilsalisilik asit),modern,everyday,0,1763 – present,1763 – bugün,8,1763,1988,context,full,qc,"This chain's defining feature is that the packet has always run ahead of the context — and still does. The mechanism arrived in 1971, but the question of who should take it, at what dose, for how long, is rewritten every decade: children came off the label in 1988, and routine daily use for primary prevention has been largely withdrawn in recent years. Worse, the context circulating publicly — 'a thousands-of-years-old willow bark tradition' — is a story the primary sources do not support. The packet is perfectly preserved while both halves of the context, scientific and historical, keep eroding.","Bu zincirin tanımlayıcı özelliği, paketin bağlamın hep önünde koşması — ve bu hâlâ sürüyor. Mekanizma 1971'de bulundu, ama 'kim, hangi dozda, ne kadar süre almalı' sorusu her on yılda yeniden yazılıyor: 1988'de çocuklar etiketten çıkarıldı, son yıllarda birincil korunmada günlük kullanım büyük ölçüde geri çekildi. Üstelik halk arasında dolaşan bağlam — 'binlerce yıllık söğüt kabuğu geleneği' — birincil kaynaklarda karşılığı olmayan bir anlatı. Paket kusursuz korunurken bağlamın hem bilimsel hem tarihsel yarısı sürekli aşınıyor.","The 1980s: Reye's syndrome. Aspirin was linked to a rare but often fatal encephalopathy with liver injury in children recovering from viral infection; more than 80% of children diagnosed had taken aspirin in the preceding three weeks. An Ohio Department of Health study in 1982, Public Health Service studies in 1985 and 1987 and a Yale study in 1989 confirmed the association, and the FDA wrote the warning into the label in 1988. A routine children's dose had been an unread gap in the context more than eighty years after launch — and once it was read, cases fell from around 100 a year to between 0.2 and 1.1 per million in 1991-94.","1980'ler: Reye sendromu. Aspirin, viral enfeksiyon atlatan çocuklarda nadir ama çoğu zaman ölümcül bir ansefalopati ve karaciğer hasarı tablosuyla ilişkilendirildi; teşhis konan çocukların %80'inden fazlası önceki üç hafta içinde aspirin almıştı. Ohio Sağlık Bakanlığı çalışması 1982'de, Halk Sağlığı Hizmeti çalışmaları 1985 ve 1987'de, Yale çalışması 1989'da ilişkiyi doğruladı; FDA uyarıyı etikete 1988'de zorunlu kıldı. Rutin bir çocuk dozu, ilacın piyasaya çıkışından seksen yılı aşkın süre sonra hâlâ okunmamış bir bağlam boşluğuydu — ve okunduğunda vaka sayısı yılda yaklaşık 100'den 1991-94 arasında milyonda 0,2-1,1'e düştü.","The purest positive specimen of the study's claim that PACKET and CONTEXT are separable. Aspirin ran at industrial scale for seventy-four years with the context link entirely empty, because the other five links — decoder, tacit, apparatus, maintenance and the packet itself — held. Honest limit: the missing context was not free. Reye's syndrome billed the gap to children; and 1971 did not so much close the gap as narrow it into something survivable — the indication list is still being rewritten today.","Çalışmanın PAKET ile BAĞLAM'ın birbirinden ayrılabilir olduğu iddiasının en saf olumlu örneği. Aspirin, bağlam halkası tümüyle boşken yetmiş dört yıl boyunca endüstriyel ölçekte işledi; çünkü diğer beş halka — kod çözücü, örtük beceri, aparat, bakım ve paketin kendisi — sapasağlam duruyordu. Dürüst sınır: eksik bağlam bedava değildi. Reye sendromu bu boşluğun faturasını çocuklara kesti; ve 1971 boşluğu kapatmaktan çok daraltıp yaşanabilir kıldı — endikasyon listesi bugün hâlâ yeniden yazılıyor.",6
radio,Radio,Radyo,modern,info,0,1864 – present,1864 – bugün,8,1864,2026,tacit,none,,"Licence numbers rise while hand skill falls, and the two are mistaken for each other. The figure 731,045 measures the DECODER link, not the TACIT one: getting licensed today requires neither building nor repairing a transmitter, and most operators run appliance radios. Cutting an antenna, aligning an RF stage, tracing a dead receiver backwards — these remain unwritable skills that pass only by working side by side. The healthiest-looking chain here is thinning exactly where nobody is counting.","Lisans sayısı yükselirken el becerisi düşüyor ve bu ikisi aynı şey sanılıyor. 731.045 rakamı KOD ÇÖZÜCÜ halkasını ölçer, ÖRTÜK BECERİ halkasını değil: bugün lisans almak için ne verici kurmak ne de tamir etmek gerekiyor, çoğu operatör hazır cihaz kullanıyor. Anten kesmek, RF katı ayarlamak, ölü bir alıcıyı geriye doğru izlemek — bunlar hâlâ yazılamayan, yalnızca yan yana çalışarak geçen beceriler. Zincirin en sağlıklı görünen yeri, tam da kimsenin saymadığı yerinden inceliyor.","12 December 1901, Signal Hill. The chain's founding proof came close to never being transmitted at all: when Marconi said he heard the letter 'S' from Poldhu there was a single witness beside him — his assistant George Kemp — and the signal was too weak to drive an automatic recorder. Modern propagation knowledge says conditions that day were unfavourable, and some historians suggest Marconi's untuned receiver may have caught a high-frequency harmonic. Verification only arrived two months later, when signals strong enough to drive a Morse inker were received before witnesses. Had that inker stayed silent, the history could have been written differently.","12 Aralık 1901, Signal Hill. Zincirin kurucu kanıtı neredeyse hiç aktarılamadan kayboluyordu: Marconi'nin Poldhu'dan gelen 'S' harfini duyduğunu söylediği anda yanında tek bir tanık vardı — asistanı George Kemp — ve sinyal otomatik kaydediciyi çalıştıramayacak kadar zayıftı. Modern yayılım bilgisi o günkü koşulların elverişsiz olduğunu söylüyor; bazı tarihçiler Marconi'nin ayarsız alıcısıyla yüksek frekanslı bir harmoniği yakalamış olabileceğini öne sürüyor. Doğrulama ancak iki ay sonra, tanıklar önünde Morse kaydediciyi sürecek kadar güçlü sinyaller alındığında geldi. O kaydedici sessiz kalsaydı, tarih başka yazılabilirdi.","Supports the study's claim that a chain lives longest when its decoder community is voluntary and self-reproducing rather than purely occupational. Amateur radio re-teaches, every year, a physics no market demands; exams, clubs and Field Day make the maintenance link independent of commerce. Honest limit: this reading risks generalising from a survivor. Amateur radio also lives because a regulator reserves spectrum for it; remove that legal protection and no amount of enthusiasm saves the apparatus. What holds the chain up is not volunteerism alone but a public resource allocated to volunteerism.","Çalışmanın 'bir zincir en uzun ömrü, kod çözücü topluluğu mesleki değil gönüllü ve kendini yeniden üreten olduğunda yaşar' iddiasını destekliyor. Amatör telsiz, hiçbir pazarın talep etmediği bir fiziği her yıl yeniden öğretiyor; sınavlar, kulüpler ve Field Day bakım halkasını piyasadan bağımsız kılıyor. Dürüst sınır: bu okuma hayatta kalana bakıp genelleme yapma riski taşıyor. Amatör telsiz aynı zamanda bir düzenleyici ona spektrum ayırdığı için yaşıyor; o yasal koruma kalkarsa topluluğun coşkusu aparatı kurtarmaz. Zinciri ayakta tutan yalnızca gönüllülük değil, gönüllülüğe tahsis edilmiş bir kamu kaynağıdır.",5
diode,The Diode,Diyot,modern,electronics,0,1874 – present,1874 – günümüz,8,1874,2014,tacit,none,,"Every written link is maxed out: the physics is open, the patents are open, the decoders number in the millions. The only thing left that can break is the part that cannot be written — and history has already run that experiment. The cat's-whisker craft vanished as living practice the moment the device retired; anyone re-learning it today learns by fumbling, not from text. Its modern equivalent is LED epitaxy process knowledge, held on a handful of production lines.","Yazılı halkaların hepsi tavan yapmış durumda: fizik açık, patentler açık, çözücüler milyonlarca. Geriye kırılabilecek tek şey yazılamayan kısım kalıyor — ve tarih bu deneyi zaten yaptı. Kedi bıyığı zanaati, cihaz emekli olur olmaz yaşayan pratik olarak tamamen yok oldu; bugün onu yeniden öğrenmek isteyen biri, metinlerden değil ancak deneyerek öğrenebilir. Bunun modern karşılığı, birkaç firmanın hattında duran LED epitaksi süreç bilgisidir.","In the 1920s triode tubes wiped the crystal detector off the market and semiconductor rectification became a scientific dead end. In that gap, Oleg Losev's systematic study of light emission from carborundum junctions, begun in the 1920s, went unread; Losev starved to death in the Siege of Leningrad in 1942, aged 38, and his burial place is unknown. His work languished unknown for half a century. The chain was rebuilt only because radar demanded microwave frequencies tubes could not reach: the Allies had to re-learn the point-contact crystal from scratch, purify silicon to 99.999% and grow high-purity germanium at Purdue — precisely the material Brattain held in his hands in December 1947.","1920'lerde triyot tüpler kristal dedektörü piyasadan sildi ve yarı iletken doğrultma bilimsel bir çıkmaz sokağa döndü. Bu boşlukta, karborundum bağlantılarından ışık yayılmasını 1920'lerden itibaren sistematik olarak inceleyen Oleg Losev'in çalışması okunmadı; Losev 1942'de Leningrad kuşatmasında 38 yaşında açlıktan öldü ve mezarının yeri bilinmiyor. Çalışması yarım yüzyıl 'bilinmeyen' olarak kaldı. Zincir ancak radar, tüplerin ulaşamadığı mikrodalga frekanslarını talep edince yeniden kuruldu: Müttefikler nokta temaslı kristali sıfırdan yeniden öğrenmek, silisyumu %99,999 saflığa çıkarmak ve Purdue'da yüksek saflıkta germanyum üretmek zorunda kaldı — Brattain'in Aralık 1947'de elinde tuttuğu malzeme tam olarak buydu.","Supports the study's claim that a packet without a live decoder does not die but goes dormant: Round's 1907 observation and Losev's papers survived as text for fifty years and produced nothing. The honest limit: the 1940s revival was not a rescue of the old chain — the war re-derived the knowledge from physics. So 'a dormant packet can be woken' holds only where the underlying science is independently re-derivable, which is exactly what a lost craft recipe is not.","Çalışmanın 'canlı çözücüsü olmayan paket ölmez, uykuya yatar' iddiasını destekliyor: Round'un 1907 gözlemi ve Losev'in makaleleri metin olarak elli yıl hayatta kaldı ama hiçbir şey üretmedi. Dürüst sınır: 1940'lardaki canlanma eski zincirin kurtarılması değildi; savaş bilgiyi fizikten yeniden türetti. Yani 'uyuyan paket uyandırılabilir' önermesi ancak altındaki bilim bağımsız olarak yeniden türetilebiliyorsa geçerli — kayıp bir zanaat reçetesi için değil.",5
