#,object_id,nesne,yil,ilk_kodlama_EN,ilk_kodlama_TR
1,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,-19,apparatus,aparat
2,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,97,maintenance,bakım
3,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,98,maintenance,bakım
4,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,373,apparatus,aparat
5,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,537,maintenance,bakım
6,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,1429,packet,paket
7,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,1453,maintenance,bakım
8,aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,1563,maintenance,bakım
9,integrated-circuit,Entegre Devre,1958,packet,paket
10,integrated-circuit,Entegre Devre,1959,tacit,örtük bilgi
11,integrated-circuit,Entegre Devre,1959,apparatus,aparat
12,integrated-circuit,Entegre Devre,1960,decoder,çözücü
13,integrated-circuit,Entegre Devre,1965,context,bağlam
14,integrated-circuit,Entegre Devre,2013,apparatus,aparat
15,integrated-circuit,Entegre Devre,2026,maintenance,bakım
16,iznik,İznik çinisi,1480,apparatus,aparat
17,iznik,İznik çinisi,1557,packet,paket
18,iznik,İznik çinisi,1560,tacit,örtük bilgi
19,iznik,İznik çinisi,1617,maintenance,bakım
20,iznik,İznik çinisi,1648,maintenance,bakım
21,iznik,İznik çinisi,1963,apparatus,aparat
22,iznik,İznik çinisi,1993,decoder,çözücü
23,iznik,İznik çinisi,2004,context,bağlam
24,kilogram,Kilogram ve 2019 yeniden tanımı,1799,packet,paket
25,kilogram,Kilogram ve 2019 yeniden tanımı,1889,apparatus,aparat
26,kilogram,Kilogram ve 2019 yeniden tanımı,1948,maintenance,bakım
27,kilogram,Kilogram ve 2019 yeniden tanımı,1989,context,bağlam
28,kilogram,Kilogram ve 2019 yeniden tanımı,2016,tacit,örtük bilgi
29,kilogram,Kilogram ve 2019 yeniden tanımı,2018,packet,paket
30,kilogram,Kilogram ve 2019 yeniden tanımı,2019,decoder,çözücü
31,kilogram,Kilogram ve 2019 yeniden tanımı,2026,apparatus,aparat
32,latin-alphabet,Latin alfabesi,-700,packet,paket
33,latin-alphabet,Latin alfabesi,-560,packet,paket
34,latin-alphabet,Latin alfabesi,-250,decoder,çözücü
35,latin-alphabet,Latin alfabesi,-50,decoder,çözücü
36,latin-alphabet,Latin alfabesi,800,maintenance,bakım
37,latin-alphabet,Latin alfabesi,1450,apparatus,aparat
38,latin-alphabet,Latin alfabesi,1928,decoder,çözücü
39,latin-alphabet,Latin alfabesi,1989,apparatus,aparat
40,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,1550,packet,paket
41,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,1557,tacit,örtük bilgi
42,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,1588,decoder,çözücü
43,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,1660,maintenance,bakım
44,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,1766,context,bağlam
45,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,1965,decoder,çözücü
46,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,2010,apparatus,aparat
47,sinan,Süleymaniye ve Sinan'ın yapı bilgisi,2019,context,bağlam
48,supermarket,Süpermarket,1916,packet,paket
49,supermarket,Süpermarket,1917,packet,paket
50,supermarket,Süpermarket,1930,apparatus,aparat
51,supermarket,Süpermarket,1930,decoder,çözücü
52,supermarket,Süpermarket,1937,tacit,örtük bilgi
53,supermarket,Süpermarket,1956,apparatus,aparat
54,supermarket,Süpermarket,1973,packet,paket
55,supermarket,Süpermarket,1974,decoder,çözücü
56,television,Televizyon,1884,packet,paket
57,television,Televizyon,1926,apparatus,aparat
58,television,Televizyon,1927,apparatus,aparat
59,television,Televizyon,1935,decoder,çözücü
60,television,Televizyon,1937,apparatus,aparat
61,television,Televizyon,1953,maintenance,bakım
62,television,Televizyon,1972,packet,paket
63,television,Televizyon,2012,apparatus,aparat
64,transistor,Transistör,1947,tacit,örtük bilgi
65,transistor,Transistör,1948,packet,paket
66,transistor,Transistör,1949,context,bağlam
67,transistor,Transistör,1951,apparatus,aparat
68,transistor,Transistör,1952,decoder,çözücü
69,transistor,Transistör,1953,tacit,örtük bilgi
70,transistor,Transistör,1955,apparatus,aparat
71,transistor,Transistör,1956,maintenance,bakım
72,ubykh,Ubıhça ve son konuşan,1864,maintenance,bakım
73,ubykh,Ubıhça ve son konuşan,1956,tacit,örtük bilgi
74,ubykh,Ubıhça ve son konuşan,1963,packet,paket
75,ubykh,Ubıhça ve son konuşan,1974,apparatus,aparat
76,ubykh,Ubıhça ve son konuşan,1975,packet,paket
77,ubykh,Ubıhça ve son konuşan,1992,decoder,çözücü
78,ubykh,Ubıhça ve son konuşan,2003,context,bağlam
79,ubykh,Ubıhça ve son konuşan,2011,packet,paket
