object_id,nesne,ilk_kodlama_EN,ilk_kodlama_TR
aqueducts,Su kemerleri ve Frontinus’un bakım kılavuzu,maintenance,bakım
integrated-circuit,Entegre Devre,apparatus,aparat
iznik,İznik çinisi,context,bağlam
kilogram,Kilogram ve 2019 yeniden tanımı,apparatus,aparat
latin-alphabet,Latin alfabesi,context,bağlam
sinan,Süleymaniye ve Sinan'ın yapı bilgisi,tacit,örtük bilgi
supermarket,Süpermarket,apparatus,aparat
television,Televizyon,apparatus,aparat
transistor,Transistör,tacit,örtük bilgi
ubykh,Ubıhça ve son konuşan,maintenance,bakım
